MemoryLimit,Tags,Text,Explanation,Title,TimeLimit,Catagory,SourceLimit,SubCatagory,Constraints
256 MB,"Binary Search,Binary Search Tree,Data Structures,Easy","you are given n triangles.you are required to find how many triangles are unique out of given triangles.
for each triangle you are given three integers a,b,c , the sides of a
triangle.a triangle is said to be unique if there is no other triangle with same set of sides.note: it is always possible to form triangle with given sides.","only triangle with sides 8, 2, 9 is unique",Counting Triangles,:2.0 sec,searching,1024 KB,binary-search,"constraints:1 &lt;= n &lt;= 10^51 &lt;= a,b,c &lt;= 10^15"
256 MB,"Binary Search,Data Structures,Easy,Implementation","foo was not amongst the most brilliant students of his class. so, he has some pending exams to clear. as the exams are approaching, this time he vowed to pass in all of them. this will only happen if he is not under stress. foo's stress can be calculated using a simple function called foo_function which depends upon the time for which foo studies continuously .foo_funtion is defined as follows:f(t)=a(t^3)+b(t^2)+c*(t)+d, f(t)&lt;=10^18where a,b,c,d belong to the set of prime numbers.
t is the time in minutes for which foo studies continuously.as foo is not very good at solving cubic equations, he seeks your help to find out the maximum number of minutes for which he can study continuously without taking stress. help him find t such that f(t+1) &gt; k, and f(t) &lt;= k, where k is the maximum stress foo can bear.","In the 1st test case for t = 2 foo will be under stress because F(2)=30 &gt; K, therefore he can study for a maximum time of 1 minute without having stress.In the 2nd test case for t = 8 foo will be under stess because F(8)=1263 &gt; K, therefore he can study for a maximum time of  7 minutes continuously without having stress.",Foo and Exams,:5.0 sec,searching,1024 KB,binary-search,"constraints:1 &lt;=t&lt;= 10^4a, b, c, d belong to a set of prime numbers such that f(t) would never exceed 10^18t&gt;= 01 &lt;=k&lt;= 10^18"
256 MB,Easy,"watson gives to sherlock a bag of numbers[1, 2, 3 ... n]and then he removesknumbersa1, a2... akfrom the bag. he now asks sherlock to find thep'th smallest number in the bag.","Test case 1:
Remaining numbers are [2, 3, 4].  3 is the 2nd smallest remaining numbers.Test case 2:
Remaining numbers are [2, 4, 5].  4th smallest remaining number doesn't exist.",Sherlock and Numbers,:2.0 sec,searching,1024 KB,binary-search,"constraints1 ≤t≤ 1020% testdata: 1 ≤n≤ 10320% testdata: 1 ≤n≤ 10560% testdata: 1 ≤n≤ 1090 ≤k≤min(n, 105)1 ≤p≤nnote: large input files. use scanf instead of cin."
256 MB,"Binary Search,Easy","monk and his friend micro are on a quest to find the answer of life, universe and everything. in order to complete it they need to answer $$q$$ queries on an array $$a$$ having $$n$$ integers. the queries can be of following two types:$$0 \space x:$$ find the number of numbers in $$a$$ which are not less than $$x$$.$$1 \space x:$$ find the number of numbers in $$a$$ which are greater than $$x$$.help them complete the quest and be back in time for the next code monk challenge.","For first query, there are no numbers in the array which are not less than $$5$$ so answer for first query is $$0$$.For second query, $$4$$ is the only number greater than  $$3$$, so answer is $$1$$.For third query, $$3$$ and $$4$$ are the numbers in array which are not less than $$3$$, so answer is $$2$$.",Monk and Search,:1.0 sec,searching,1024 KB,binary-search,"constraints:$$1 \le n \le 10^5$$$$1 \le q \le 3 \times 10^5$$$$1 \le a[i], x \le 10^9$$"
256 MB,"Binary Search,Easy,Greedy","the hero of this story is a toddler namedbooboo. inspired by the legendary competitive coder gena, booboo has also started preparing to race to the top of the ranks.booboo is going to practice $$n$$ different problems in the exact given order over the next $$m$$ days. for each problem, he writes down the amount of time $$q_i$$ he will take to think and code the $$i^{th}$$ problem (he is quite good at estimating!). before starting on the problems, he took advice from experienced competitive programmers on his practice routine and almost all of them advised him to keep his daily load at the minimum possible and avoid over training.since booboo already has $$n$$ problems to solve, he asks you to find the minimum time $$t$$ such that training everyday for a time $$t_i \le t$$ is sufficient to solve all the $$n$$ problems in $$m$$ days.note :unlike in real world, you cannot think on a problem on one day and solve it on the other day. you need to do it on the very same day!","By setting T = 3, we can solve 1st two questions on day 1, next two on day 2 and 5th one on day 3.",BooBoo and Upsolving,:1.0 sec,searching,1024 KB,binary-search,"constraints:$$1 \le n \le 10^5$$$$1 \le m \le n$$$$1 \le q_i \le 10^{12}$$subtasks20 points:$$1 \le n \le 1000 , 1 \le m \le 100, 1 \le q_i \le 100$$.80 points:original constraints"
256 MB,"Algorithms,Easy-Medium,Monthly-Contest","as gudi escapes the room and moves onto to the next floor, the wizard of ud receives her at the gate!the wizard questions her intelligence and does not allow her to move ahead unless she answers his puzzle correctly.  the wizard says :imagine that you are trapped in a dungeon, little girl . and the gate to the exit is guarded by a monster.  the monster eats strings. different strings trigger different behaviors of the monster. you know the string that can make it sleep. however, you do not posses it. all you have are $$n$$ strings scattered on the floor in the dungeon. you can pick up any subset of these and rearrange the characters to form the required subset. you can't pick up a partial string or discard part of any string that you pick.answer me, little girl, can you use these strings to form the string that shall make the monster sleep and get you out alive?","The sleep string for first case ""draaxiny"" can not be formed.The sleep string for second case can be formed using the last two strings.",The String Monster,:3.0 sec,searching,1024 KB,binary-search,constraints$$ 1 \le t \le 10 $$$$ 1 \le n \le 30 $$$$ 1 \le k \le 30 $$$$ 1 \le l \le 900$$
256 MB,"Binary Search,Medium,Sorting","dexterwas good in finding thekth smallest number from a set of numbers. he thought he could solve any problem related tokth smallest number. his friendpipichallenged him with a problem.he gave him various ranges of number, these numbers were arranged in increasing order(only distinct numbers to be taken into account). now he asked him to find thekth smallest number in the sequence, again and again.","The numbers are ""1 2 3 4 5"".
The 1st smallest number is 1The 3rd smallest number is 3
The 6th smallest number is not present. Hence answer is -1",Kth smallest number again,:5.0 sec,searching,1024 KB,binary-search,"constraints1 &lt;=t&lt;= 1001 &lt;=n&lt;= 1001 &lt;=q&lt;= 1000-10^18 &lt;=a&lt;=b&lt;= 10^18k&gt;= 1n.b. if kth smallest number is not present in the series, print -1"
256 MB,"Binary Search,Easy-Medium,Greedy","the time has arrived when the world is going to end. but don't worry, because the new world yuga will start soon.manu(carrier of mankind) has been assigned the job to carry all the necessary elements of current yuga to the upcoming yuga.there arenstones arranged in a straight line. in order to fulfill the task, manu has to travel from the first stone to the last one in a very specific way. first of all, he has to do it using exactlykjumps. in a single jump, he can jump from a stone with coordinatexito a stone with coordinatexjif and only ifxi&lt;xj. we denote the valuexj- xias the length of such a jump.your task is to help manu minimize the maximum length of a jump he makes in his journey, in order to reach the last stone in exactlykjumps and save the mankind. this is the answer you have to provide.","Case #1: Since we have to make exactly 1 jump, we need to jump directly from the first stone to the last one, so the result equals 43 - 2 = 41.Case#2: Since we have to make exactly 2 jumps, we need to jump to all of the stones. The minimal longest jump to do this is 5, because 35 - 30 = 5.",New World,:1.0 sec,searching,1024 KB,binary-search,constraints:1 &lt;=t&lt;= 102 &lt;=n&lt;= 1051 &lt;=k&lt;= (n-1)1 &lt;=coordinates of stones&lt;= 109note:it is not necessary that manu steps on each stone.location of all stones are given in ascending order.it is not necessary that manu steps on each stone.location of all stones are given in ascending order.
256 MB,"Algorithms,Binary Search,Medium,Sorting","roy is playing tiles game. it consists of a source node and destination node and a tiles grid of sizenxn.grid lies in between source and destination (see the image below).all of them have some value associated with them denoted bys(source value),d(destination value) andgrid[i][j](tile value) where 1≤i≤n, and 1≤j≤n.roy is at the source node and he has to reach destination node to finish the game. rules of the game are:we can move from source to any tile of row1, if the value of that tile is 1 greater than source.
in other words, we can move from source to grid[1][j] , ifgrid[1][j] = 1+swhere 1≤j≤n.we can move from rowito any tile of rowi+1, if the value of the tile at rowi+1is 1 greater than the current tile's value.
in other words, we can move from grid[i][j1] to grid[i+1][j2], ifgrid[i+1][j2] = 1+grid[i][j1]where 1≤j1, j2≤n.we can move from last row to destination node, if the value of the destination node is 1 greater than the current tile's value.
in other words, we can move from grid[n][j] to destination node, ifd = 1+grid[n][j]where 1≤j≤n.we can move from source to any tile of row1, if the value of that tile is 1 greater than source.
in other words, we can move from source to grid[1][j] , ifgrid[1][j] = 1+swhere 1≤j≤n.we can move from rowito any tile of rowi+1, if the value of the tile at rowi+1is 1 greater than the current tile's value.
in other words, we can move from grid[i][j1] to grid[i+1][j2], ifgrid[i+1][j2] = 1+grid[i][j1]where 1≤j1, j2≤n.we can move from last row to destination node, if the value of the destination node is 1 greater than the current tile's value.
in other words, we can move from grid[n][j] to destination node, ifd = 1+grid[n][j]where 1≤j≤n.your task is to find the number of ways roy can move from source to destination node. since the answer can be very large, output it modulo 1000000007. note that there are several queries with separate values of s and d on the same grid.",,Roy and Tiles,:2.0 sec,searching,1024 KB,binary-search,"constraints:1 ≤ t ≤101 ≤ n ≤10001 ≤ grid[i][j] ≤ 1091 ≤ q ≤ 10001 ≤ s,d ≤ 109sum of (q*n) over all the test cases in each file will not exceed 106sample explanation:query 1:consider the test case as shown in the image:from source, there are 2 ways to move to row1(tiles with value 4)from row1, there is only 1 way to move to row2(tile with value 5)from row2, again there is only one way to move to row3(tile with value 6)from row3, there are 3 ways to move to row4(tiles with value 7)and then there's 1 way to move to destination.so total 2 * 1 * 1 * 3 * 1 =6ways. they are:1st way: s → grid[1][3] → grid[2][1] → grid[3][3] → grid[4][1] → d2nd way: s → grid[1][3] → grid[2][1] → grid[3][3] → grid[4][2] → d3rd way: s → grid[1][3] → grid[2][1] → grid[3][3] → grid[4][3] → d4th way: s → grid[1][4] → grid[2][1] → grid[3][3] → grid[4][1] → d5th way: s → grid[1][4] → grid[2][1] → grid[3][3] → grid[4][2] → d6th way: s → grid[1][4] → grid[2][1] → grid[3][3] → grid[4][3] → dquery 2:1st way: s → grid[1][2] → grid[2][2] → grid[3][1] → grid[4][4] → d2nd way: s → grid[1][2] → grid[2][4] → grid[3][1] → grid[4][4] → d3rd way: s → grid[1][2] → grid[2][2] → grid[3][3] → grid[4][4] → d4th way: s → grid[1][2] → grid[2][4] → grid[3][3] → grid[4][4] → d"
256 MB,"Binary Search,Hashing,Medium","see russian translationrasta is a big fan of kheshtaks. a kheshtak is a rectangle that in each of it cells there is an integer.today rasta came up with an interesting problem, biggest common subsquare  (bcs). a kheshtak is called a square if the number of its columns is equal to the number of its rows. a squaresis called a subsqaue of a kheshtakaif and only if we can turnatosby deleting some of its rows and some of its columns (maybe none).he gives you two kheshtaks,aandb(aone isn × mandbisx × y).the first line of input containsnandm.then you are givena(nlines, in each line there aremspace separated integers).after that you are givenxandy.then you are givenb(xlines, in each line there areyspace separated integers).1 ≤ n, m, x, y ≤ 700and all numbers inaandbare integers in the interval[1, 1000].print the size of bcs of a and b in a single line (size of a square is number of its rows).",,Rasta and Kheshtak,:2.0 sec,searching,1024 KB,binary-search,
256 MB,Easy-Medium,"gukiz loves hiking in the mountains.
he starts his hike at the height 0 and he has some goal to reach, initially equal toh.
once he is at the height not less than his goal, he ends his hike.the mountains are described by a 0-indexed sequenceaof the lengthn.
in the first day gukiz will change his height bya0, in the second day bya1, and so on.
mountains are a regular structure so the pattern repeats after the firstndays.
in general, in thei-th day gukiz will change his height bya(i-1)%n.additionally, gukiz will become more and more tired and in thei-th day his goal will decrease byi.
so, after the firstidays his goal will be equal toh - i(i+1)/2.note thatamay contain negative elements (because gukiz can go down from some hill).
moreover, his height could become negative, or even his goal!you can assume that both gukiz's height and goal change at the same moment (immediately and simultaneously) in the middle of a day.could you calculate the number of days in the gukiz's hike?the first line contains two integersnandh, denoting the length of an arraya, and the initial goal.the second line containsnintegersa0, a1, ..., an-1.in a single line print the number of days in the gukiz's hike.it can be proved that for any input the answer exists.1 ≤ n ≤ 1051 ≤ h ≤ 109-109≤ ai≤ 109","We can describe the GukiZ's hike as follows:1 - 7, 44  (after the first day his height and goal will be equal to 7 and 44, respectively)2 - 3, 423 - 8, 394 - 15, 355 - 11, 306 - 16, 247 - 23, 17After the 7-th day Gukiz's height is not less than his goal so he ends his hike.",C - GukiZ Height,:1.0 sec,searching,1024 KB,binary-search,
256 MB,"Algorithms,Medium","every one is now a days playing games on their smartphones for passing free time. because of which there are number of game developing companies growing in the market. not only that, each company is now flooding the market with a lot of games. with such a huge number of games in the market, for each company, with millions of users, keeping track of all the data and maintaining good user experience is now a big problem for them.one of the very important aspect of building these games is the ability to maintain all the information about the user. 
this is a very important step in maintaining the user experience. no user would want to restart from the beginning of the game every time he/she restarts it. they would just then switch to a competitive game developer and that is not good for business.most of the games now have a similar structure and some of the game companies follows the logic below in their games to handle this problem:you are now interested in building a game for the smartphone user's as well. but before that, you would need to solve this problem effeciently.
given the strength of user's for each parameter, print the level they are on.input:the first line of the input contains three space separated integers, n, m and q. (n is the number of parameters, m is the number of levels, and q is the 
number of queries that you have to answer.)next n line contains m space separated integers, the ithline contains the m strength values for the m levels of the ithlevel.next q lines, each contains n space separated integers, the strength of a user in each of the n parameters.output:print q lines, one for each query. for each query, print the level on which that user is.constraints:1 ≤ n ≤ 1001 ≤ m ≤ 50001 ≤ q ≤ 5000every input will fit in an integer.",,Starting Game development,:1.0 sec,searching,1024 KB,binary-search,
256 MB,"Binary Search,Implementation,Medium","xsquare loves to play with numbers a lot. today, he has a multi setsconsisting ofninteger elements. at first, he has listed all the subsets of his multi setsand later replaced all the subsets with the maximum element present in the respective subset.consider the following multi set consisting of3elementss = {1,2,3}.now, xsquare wonders that given an integerkhow many elements in the final list aregreater than ( &gt; ),less than ( &lt; )orequals to ( == )k.to make this problem a bit more interesting, xsquare decided to addqqueries to this problem. each of the queries has one of the following type.&gt; k :count the number of elementsxin the final list such thatx &gt; k.&lt; k :count the number of elementsxin the final list such thatx &lt; k.= k :count the number of elementsxin the final list such thatx == k.answer to a particular query can be very large. therefore, print the required answermodulo 109+7.anempty subsetis replaced by an integer0.first line of input contains two space separated integersnandqdenoting the size of multisetsand number of queries respectively. next line of input containsnspace separated integers denoting elements of multi sets. nextqlines of input containsqqueries each having one of the mentioned types.for each query, print the required answermodulo 109+7.1 ≤ n,q ≤ 5*1051 ≤ k,si≤ 109query_type = { &lt; , &gt; , = }prefer to use printf / scanf instead of cin / cout.",Refer to the above list for verification of the sample test cases.,Xsquare And Number List,:1.0 sec,searching,1024 KB,binary-search,
256 MB,"Binary Search,Implementation,Medium",shinchan and kazama both are playing with numbers. shinchan gives kazama an array of numbers and asks him to tell the minimum possible last number of a non decreasing sequence of length$$l$$.note- check the sample i/o for more clarity.,"In sample input, possible non-decreasing sequences of length$$L$$=$$3$$ are$$(9,11,12) , (7,11,12) , (2,5,11) , (2,4,11) , (2,5,12)  , (2,4,12) , (2,11,12) ,  (5,11,12) , (4,11,12)$$and the minimum last number is$$11$$for the sequences $$(2,5,11)$$ and $$(2,4,11)$$. Hence, the answer is$$11$$.",Non-Decreasing Sequence,:1.0 sec,searching,1024 KB,binary-search,constraints-$$ 1 \le t \le 100$$$$1 \le n \le 10$$$$6$$$$1 \le a[i] \le 10$$$$6$$$$1 \le l \le n$$
256 MB,"Algorithms,Binary Search,Easy-Medium","monk and his best friend micro were taking a stroll, when they found an array $$a$$ having $$n$$ integers lying on the road. the array was injured badly, so they took it with them and treated it.when the array came back to senses, it told them, that some  crazy guy came and started beating it. the array started crying and while monk and micro were comforting it, the last element of the array informed that the special integer is missing from its pocket. after hearing that, the array started crying even louder because it is supposed to appear in the next code monk challenge with that special integer.special integer,  $$k$$,  of an array, is an integer such that none of its subarray of size $$k$$ has sum of elements greater than $$x$$. to calm the array down, monk decided to gift it the maximum possible value of special integer $$k$$. now since monk is busy with code monk he asked micro to find the maximum value of special integer but right now, all micro can think of is a potato, so micro asked for your help.","Sum of all subarrays of size $$1$$: $$1, 2, 3, 4$$Sum of all subarrays of size $$2$$: $$3, 5, 7$$Sum of all subarrays of size $$3$$: $$6, 9$$Sum of all subarrays of size $$4$$: $$10$$So clearly, maximum subarray size, such that all subarrays of that size have sum of elements less than $$8$$ is $$2$$.",Monk and Special Integer,:1.0 sec,searching,1024 KB,binary-search,"constraints:$$1 \le n \le 10^5$$$$1\le x \le 10^{18}$$$$1 \le a[i] \le min(x, 10^9)$$"
256 MB,"Binary Search,Medium","there arentemples in a straight line andkmonks who want to spread  their enlightening power to the entire road of temples. all the monks have an enlightenment value, which denotes the range of enlightenment which they can spread in both the directions. since, they do not want to waste their efficiency on trivial things of the world, they want to keep their range minimum.also, when we say that thentemples are in a straight line, we mean that that all the temples lie on something like an x-axis in a graph.find the minimum enlightenment value such that all the temples can receive it.","The optimal answer is 2.
A monk positioned at 3, can serve temples at 1 and 5.
The other monk can be placed at 18, to serve temple at 20.",The Enlightened Ones,:2.0 sec,searching,1024 KB,binary-search,constraints:1 &lt;=n&lt;= 1051 &lt;=k&lt;n1 &lt;=positioni&lt;= 107update:the enlightenment value is an integer.
20 MB,"Binary Search,Easy-Medium,HashMap,Sorting,Sqrt-Decomposition","today is kriti's birthday but i forgot to bring a gift for her. she is very angry with me. i have an idea for a gift. she likes coding very much. why not give her a problem to solve as her gift?i know a problem but i am not sure whether its solvable or not.the problem initially hasnstrings numbered1 to n. the program has to answerqqueries. each query is of the forml r s.  for each query,the program has to print the number of times the string s appears in the range [l,r].help me by solving the problem!!","For query 1:
Only one ""abc""  is present (at position 1st)  in the range [1,2], so the answer is 1.
For query 2:
Two ""abc"" are present (at position 1 and at position 3), so the answer is 2.
For query 3:
No ""hgf"" is present in the range [1,2], so the answer is 0.",Kriti and her Birthday Gift,:4.0 sec,searching,1024 KB,binary-search,constraints
256 MB,"Algorithms,Binary Search,Dynamic Programming,Medium,Sorting","this time your task is simple.task:mehta has to find the longest subarray whose sum is greater than equal tozeroin a given array of length** n**.
after he finds out the length of longest subarray, he has to report how many subarrays of such maximum length exist that satisfy the mentioned property.note:subarray is defined as an array of contiguous numbers in a particular array.
subarray(a,b) has length (b-a+1) and consists of all numbers from index a to index b.",,Mehta And Subarrays,:3.0 sec,searching,1024 KB,binary-search,constraints:n&lt;= 10^6each number in the array is less than equal to 10^9 and greater than equal to -10^9(-10^9 &lt;= a[i] &lt;= 10^9)
256 MB,Easy-Medium,"russian version of the problem can be readhere.as you probably know, cats usually fight with dogs.there arendoghouses in a backyard. for simplicity, we consider the backyard as a plane, and the doghouses as points on the plane. all doghouses are numbered from 1 ton. the i-th doghouse is located at point(i, y[i]). (note that this means that there are no two doghouses with the same x-coordinate.)cats are about to build some rectangular fence, parallel to the axis. if some doghouse is located at the perimeter of the fence, it should be removed. your task it to find the maximum possible number of doghouses that may be removed after choosing arbitrary fence sizes and location. please note that the area covered by the fence may be equal to 0.",,Doghouses,:1.0 sec,searching,1024 KB,binary-search,"constraints1 ≤n≤ 1,000, 0 ≤y[i]≤ 1,000."
256 MB,"Algorithms,Binary Search,Easy-Medium","little monk has travelled across the world but he has never seen a place like byteland. the mountains in the byteland have a unique order. height of $$i^{th}$$ mountain is represented by an interval $$(l_i,\;r_i)$$ i.e. the height of the mountain is in increasing order, $$l_i, l_i+1, l_i+2, ...., r_i$$. the heights of mountains are such that if $$i &lt; j$$ then $$r_i &lt; l_j$$. now the little monk wants to know $$x^{th}$$ smallest height in the byteland.note: x will be always in the given range of intervals.","The mountains will look like the image above. So the heights will be $$[1, 2, 3, 4, ....., 8, 9, 10, 11, 12, 13, ...., 19, 20, 21, 22, ......, 29, 30]$$.$$5^{th}$$ smallest height will be $$5$$.$$15^{th}$$ smallest height will be $$15$$.$$25^{th}$$ smallest height will be $$25$$.",Little Monk and Mountains,:1.0 sec,searching,1024 KB,binary-search,
256 MB,"Algorithms,Easy-Medium","its time for yet another challenge, and this time it has been prepared by none other than monk himself for super-hardworking programmers like you. so, this is how it goes:given $$n$$ points located on the co-ordinate plane, where the $$i^{th}$$ point is located at co-ordinate $$(x_{i}$$, $$y_{i})$$, you need to answer $$q$$ queries.in the $$i^{th}$$ query, you shall be given an integer $$r_{i}$$, and considering you draw a circle centered at the origin $$(0,0)$$ with radius $$r_{i}$$, you need to report the number of points lying inside or on the circumference of this circle.for each query, you need to print the answer on a new line.","For the $$1^{st}$$ query in the sample, the circle with radius equal to $$3$$ looks like this on the co-ordinate planeThe points : $$(1,1)$$, $$(-1,-1)$$ and $$(2,2)$$ lie inside or on the circumference of the circle.",Monk and circular distance,:1.0 sec,searching,1024 KB,binary-search,"constraints:$$ 1 \le n \le 10^5 $$$$ -10^9  \le x_{i} , y_{i} \le 10^9 $$$$ 1 \le q \le 10^5 $$$$ 0 \le r_{i} \le 10^{18} $$"
